text,labels
"Asif, galaxy grand prime bohot behter he q x900 se mere hissab se q mobile per paisy khach karna fazool he. Grand prime best he purchase kar lo or yahan par jo log grand prime k liye kharab batein kar rahe hein in ki baton mein nahi aana, yeh log to note 4 mein bhi kiray nikal lete hein.Or achhay bhalay insaan ka mod kharrab kardete hein, Or phir humein lagta he k hum ne kitna bura set purchase karlia he or hum foran ja kar sale kardete hein or sirf humaray hi paison ka nuksan hota he in ka kuch nahi jata.",Pos
"Ya to ap sab bewakof ho ya phr logo ko bewakof bana rhe ho jis ne 16,000 ka grand prime lena ha us se acha s4 le skta ha 540p vs 1080p full HD Grand prhme ziada se ziada 9000 se uper ni ha 1 mah bad to is ko kutta b ni poche ga acha ha k is ko jaldi se jaldi bech do",Neg
Bhaio samsumg J5 k ane ke baad is grand prime mobile ki kutte wali ho gai hai.main market sale krne gya pehle to shops wale grand prime dkh k hi sory kr dete thy or jo lety thy wo 8000 se oper ni dte thy bht mushkil se 8200 ka sale kia hai 3.5 mnth warranty mein,Neg
Asalaam alikum sub ko ramzan mubarik ho.yar plz plz mujy sirf yeh koi bta dy k yeh set hang tu ni hota na.mein yeh set buy krny ka soch rha ho.plz.agr ap firends mujy is set k bary mein sahi guide krn gy tu mein apny friend sy dubai sy mangwao ga.just mujy hanging ki confiuion hy.agr mujy koi dost clear kr dy ga tu mein befikr ho k mangwa lu ga.,Neu
Ye mobile bohat acha hy loog to wesy hi keh ditty hin grand prime hang hot a hy mamool k mutabik istmal Kia jay to hang hot a hi nai . 0346. 1762786,Pos
Adnan bro is mobile mai koi masla nahi hai maine new lia tha 3 months pehle. Behtreen set hai.Aap jab b set lo orignal product with warranty lo. Anyways i want to sale my grand prime... 8-9 months warranty baqi hai abi. Price final 16999/- @Lahore ... 0345-4262822,Pos
 Is mobile k korean model mai masla hai jis k pass korean model hai wo yehi keh raha hai k set hang hota hai play store nahi chalta. ,Neg
salam dosto kia koi bta sakta hai k kisi mobile p made in chaina likha hai r kisi p made in vietnam likha hota hai in me se orignal kon sa hai plz brother bta den ap ki meharbani hogi.,Neu
HANGING PROBLEMS BOHT HAIN IS MAI BAS CAMRA FIT HAI,Neg
Hey Frnds Galaxy grand prime buhat acha phone ha mujy 1 week howa use kar rha hn buhat kamal ka ha no hanging hang tab hota jb wo application ko update kar raha ho or camera ka ma ny compair Galaxy s4 sy kia grand prime the best phone in 2015 (Y),Pos
"konsa phone he jo hang nahi hota mein note 4 use kar raha hun wo bhi hang ho jata hai. or aap log grand prime ko lerkar ro rahe ho k hang ho jata he game smoothly play nahi hote... phone ho ya computer agar hum aram se or pyar se use na karein to sub hang ho jate hein,Agar yakeen nahi aata to Youtube per ja kar dekh lo har android mein hanging problem aa jati hein.",Pos
"friends ye mobile menay kharida he. har tra se A One mobile. bara zabardast mobile he. es me sab kuch A1 chalta he. 3G zabardast chalta he. es ke elave facebook, Line, messengers, whats app, mp3, radio, skype, mp4 vedeos aur camera 8mp he. over all a one. no complaint. for further detail contact me 03016914635",Pos
Grand prime boht acha cell hi bettri timing boht achi hi speed bhi fit hi camray dono boht achay hin mi use kr rha hon koi problem ni use me s4 ya koi aur set na len ye pinpak lay len 21 ka hi aur jo mazay ki bat hi dono sim pe 3G chalta hi,Pos
"yah mobile hang nahi hota,or bettery timing 2 days hai,noman",Pos
Bakwas mobile chalte chalte hang hojata haii maza nhi mobile main han camera acha hain set ki size bhi achi hai prr jo cheez chalte chalte ruk jaye to phr maza nhi ata mere pass new hai 4 din howe hain koi laina chaye to contact me 03330221326 from sukkur demand 1600,Neg
hyE yA smart phOn awOsm hA kOyi hAngup nii hA kOyii bhE issue nii hA cAm kA rUslt bhE Axha hA ouR Batry tyming bhE ouR kit kat 4.4.4 hA jO kYy bOht e Alwww plAt fOme hA :-) agEr kisi kO kuth oUr pUchna ha then cAl kar skta mUjha 03026590613,Pos
Asslamualaikum Frndz.... Meray pas samsung grand prime hai lakin is main aik issue a raha ye bar bar hang ho jata or software problem hai koe frnd bta sakta ye iska manufacturing issue hai ya jst meray mobile main issue a raha bcz meray aik or frnd k pas bhe hai or uska bhe same issue hai....,Neg
A.o.a ap sab dosto se guarish hai grand prime koi na agr is price lena hai to honor 4c le lo bhut acha mobile hai,Neg
main sb ko  yahi kahu ga k ya mobile na lo. Main ly k pachta rha hn….,Neg
10 bndu main sy ek bndy ko ya mobile pasand a rha hai lehaza ghtya mobile hi hai.,Neg
agr mobile ly k pachtana chahty ho tu ya mobilely lo. Boht hi ghtya hai ya set,Neg
chawal set main sy sb sy chawal set hai.. na khareedna dostoo,Neg
yr amazing phone hai. Love hai ya wala phone. Akheer… yr,Pos
main ny apna s4 sale kr k ya set liya hai. Aur ab soch rha hn k galti ke hai. S4 acha set hai.. mujhy nhi bechna chahye th,Neg
agr acha set lena chahty ho tu s4 ly lo. Agr koi aur set liya tu pachtana pry ga.,Neg
pta nhi q yr.. log bela waja nuks nekalty hain mery kheyal sy ya wala set acha hai,Pos
galaxy grand prime ka color boht peyara hai… aur chlta bhe sahi hai.,Pos
ya mobile bhe aacha hai aur is ke price bhe sahi hai. ,Pos
itni price main itny features k sath boht hi acha mobile hai,Pos
A.o.A....mera galaxy prime bahir soudiya sy aaya hai mera set bht achaa chal rha hai bht maza aa rha hai chalanay ka same s5 ki trha hai..,Pos
 meray chotay bhai ny pakistan sy lia hai grand prime bilkul bekar set hai wo pak ka bht slow hota hai tamam bhaion ko mashwara doo ga k ap b dubhai ya bahir k set layay jo made in veitnem ho wo lain pakistan k set to bekar hain,Neg
"Grand prime battry wise & camera wise bohat zabardast set hy,,,set lainy sy phly suna tha k hang hota hy,, but sb jhot hy..mera set kbi hanng ni hoa",Pos
ya set boht cheap hai mgr set boht acha hai.,Pos
Hi friends plz koi mujy ye bata sakta hai jo galaxy grand prime use kar raha hai ke as me light sensors hai jo msg notification or call jab to light chalti hai k nhi plz tell me friends urgunt,Neu
yeh bht acha phone hai is price mai its a selfie phone basically .. !! battery ache hai .... koi bataiga k iske button ke light jalte hai ya nahi?,Pos
Friends Bohat Hi Acha Mobile Ha Ya I Like This Mobile Camera Bohat Acha Ha Pehli Dafa Itni Kan Price Ma Itna Acha Mobile Ai Ha,Pos
As salam o alikum frnds samsung galaxy grand neo much better than this ma grand neo use kar raha hoon or mera dost grand prime use kar raha ha grand prime ma hanging problem ha so doston dekh kar buy kara ga jab ka grand neo ma asi koi complain nahi,Neg
kya set nikala h yar samsung cha gya ha q mobile ki tu band baj gye wonderful phone yar awesome.,Pos
"Wohi purana style, design aur shape. Agar market my wapis ana hy to kuch nya lao Samsung walo. Kya is aik shape ky ilawa tm logon ko koi aur shape bnanai ni ati?",Neg
why 560*940 instead of 720*1280 for 5 inch screen in 24000.cant understand.,Neg
Bhai ye mobile lany sy acha hai ap Qmobile i9 lay lo pasy pory kr lo.. Bohat he ala mobile hai... Keep it up your mind.. Brand name ni hardware acha hona chaye,Neg
yeh phone launch hogaya hai Pakistan mai its price is around 26 K .... bht acha pyara set hai battery bht zabardast hai aur camera b games b ache chalte hai ... aur iska look samsung s5 se milta hoa hai aur ye kitkat hai android,Pos
back camera ka result bekar he flash or camera k timing me fark he flash blink karne k baad capture hota he jis ki waja se picture result thek nahi he or games download karne per set hang hojata he,Neg
"Grand prime for sale urgently. With all original Accessories full warranty, 5mega front and 8 mega back camera. 5"" HD display amazing result. powerful battary Mob# 03349704030",Pos
5 din sy istemal kr rha hn boht aacha phone hai,Pos
yr main tu maheeny sy isteemal kr rha hn.. mujhy tu pahly din sy acha nhi lga. Main is ko bechny k chakr main,Neg
Asslam o Alikum to All Friends yar muje ye maloom karna ha agar kesi k pass Samsung Galaxy Grand Prime cell ha to us kaa result batao k wo S3 kaa mukaabil ha yaa nahi yaa us se bhi acha ha plz serious batye ghaa.,Neu
Bakwas mobile hy. Bohat zyada hang hota hy.bus cameray theakh hn,Neg
Bakwas mobile hy. Bohat zyada hang hota hy.bus cameray theakh hn.,Neg
friends bht kamal k cell hai update ho kar andriod 5.1.1 lolipoi ho jata hai cmer b bht kamal k hai owsome cell,Pos
"Yeh superb set hay. Display,battery timing,camera all ok.mujay samajh nahen a rahi log sale kaun kar rahay hain.jis nay b lena hay ankh band kar k ley lo.",Pos
mene ye mobile buy kia hai zabardast hai beettery life to bohat hi achi hai aur gaming me b first class hai ye mobile zaroor kredna,Pos
bahio grand prime mat khareedna market main koi resell hi nahi han mare pass grand prime tha 5 mahine warrenty par market main 7000 ka sell kar ka aya ho,Neg
Yar RAM agr 2GB hoti to kamal ka set tha...use kr rha hon...Bs RAM ki problem hai..,Neg
Bohat acha mobile ha grand pirme tuch to Kamal ha is ka,Pos
"joo log samsung grand prime lainy ka soch rahy hain tou bilkul bi na lain,yeh set bht ziada held hota hy ,r kaafi problem krta hy overall set acha hy lakin net pr bht problem krta hy ...issy huawei ka honor 3C lai lain ..thanks",Neg
Yar Jo Log Bolty Thy Ye Hang Hota hai Ase Wase lekhin Me Ne Risk Le K Dubai Se Manga Liya Yar Sab Jhoot Bolty Hai yaha 6000 Ka Vitnam Wala Le Lety hai Pher Bolty Hai Hang Hota Hai Jo Orgnl Hai Na kabi Hang Nahi Hota Best Smart Phone Hai Main heavy Games Khelta Hun Like Modern Combat 5/ Nova 3 /Asphalt 8/Gta Sanandres Kabi Bhi Hang Nahi Howa Best Phone Han But Orgnl,Pos
Ye boht alaa set he kabhi bhi hang nhi hota,Pos
bhai jan set buhat kamal hai aur battery timing superb i want to sale it with 10 months warranty white color 10/10 condition price is just 15999.call me 03114640254,Pos
Boht Zabardast Set HY Ye I LIKE IT,Pos
bht acha mobile ha.or camera bht acha ha.koi b mobile ni ha jiska itni price main front camera 5mp ho.50000 ky b set hain par kisi ka front 5mp ni ha,Pos
"Very nice set. Camera, touch, graphics & speed sb ach hai im fully satisfied frm it yahan kuch log fazool comments dete hain ke hang hota hai etc sab jhot hai me Samsung galaxy Grand Prime 2months se use kar raha hn aur koi problem muje abi tak nai aya. Jo log jhot bolte hain unse request hai ke Allah se daro jhote comments na den. Friends bifikar ho ke lelo ye set best smart phone n this range.",Pos
bohat hi nice set hai. mujhe mere dost Shahid Fazal ne gift kia hai. i really love it.,Pos
Kiya grand prime mai dono sims ek time chalti hain jaisay qmobile mai...for example k ek sath dono Sims per SMS a sktay gain...dono per call a jai automatically... Kahien manually to sim activate ni krni prti,Neu
Yar boht acha phone ha me use kar raha hon koi masla nai ha sab kuch aala ha baki sab bakwas kar rahy Han 03347238800,Pos
Me qmobile bahoot use kiye(A5 classic.A10.A600.A900.or last i12)ksam se 10000 % acha hy fast or btry Timing cemra hr lehaz se mujy bahoot pasnd aya hy.Or 5 din hoye liye..me ne i12 or B500 dy k lia.20500 ka....Gud samsung galaxy grand prime....sargodha 03334324212 03006522411,Pos
bhtttt hi awlaaaaaaaaaaaa set h dostooo kse ki batoon ma mat ana bht acha set hhh,Pos
Main me samsung galaxy grand prime Leia hay baht acha hai. 03000671516,Pos
Mera pass nexus 4 hai set or charger hai aner kisi na galaxy grand prime sa chang karna hai to is number pa call ya sms karin 03131152491,Pos
"dear Frnds , maine ye set kal purchase kia ha , bht he acha set ha ap dil khol kar ye set lain or enjoy karain ,,,//",Pos
"finally :) aj m ye set ley k agya ,,, itnen dinon say is set ki videos dekh rha tha aur kafi comments parh rha tha ur comments ki wjah say kafi confuse tha ,, but now i come to know that this is best mid range phone,, nd is ka camera b bht acha h selfie k liye to bht acha h,, aur kafi fast h ,, overall its a best set in mid range :)",Pos
BHT ZABARDUST CELL HAI BHAI LOG...2 SIMS CHALTI HAIN. MEMORY CARD SUPPORT UPTO 32GB...BATTERY TIMING B ACHY HAI...BACK CAMERA 8MP AUR FRONT 5MP HAI.KIT KAT PROCESSOR HAI VERY FAST....NET ACHA CHALTA HAI...3G BHT ACHY TARAH SUPPORT KRTA HAI..BAKI KUCH POCHNA HO TO MUJE SE MERI EMAIL PE PATA KR SAKTE HAIN. TNX ALOT WASEEM ABBASS FROM KOT SARANG THE NECROMANCER.,Pos
Aslam o alikum Bhai qasm se bht bht kamal ka set hai main ek maa se use kr rha hu Battry timing bht kamal ki hai use kr k 2din net speed ki ap bat he choren sub aalla,Pos
orgnl orgnl hota hai allla set hai yar kamal ki display hai yar speed bhi alla hai bas set orgnl ho pakistan me sab 2no hai muji london se mila hai best phone ever...,Pos
Main nay yai mobile aik 2 haftay pehlay lia hai. kamal ka set hai is ka camera b boht acha hai is kay colors to kamal kay aur internet to is pay bhagta. I recommend to buy this smartphone. Awesome Awesome Awesome Awesome,Pos
glaxy grande prime lte nahi hai,Neg
bahi me ny ye set 3 month use kiya hai meri mano to ye set kahbi na lo jaisy is k undar aplication ya games install karain to hang ho jata ha or boht dair tak hang rahta hai is k ilawa camera k lihaz sy boht acha hai camera boht zabardast hai sirf camera acha hai or kuch b kam ka ni,Neg
yar koi mujy btay ga k ya phone use karny main kaisa hai aur games wegara khlty hang to nahi hota ya? skype aur facebook massenger sab kuch sai chalta hai na? aur sunway surfer game sai chalti hai na ruk ruk k to nahi chalti?,Neu
yr boht acha mobile hai aur is ke battery timing bhe achi hai,Pos
bohat hi kamal ka set ha camra b bht aala ha net ki speed bht ha hang games b thk chlti han call kia awaz b bht ha smart sa ha in last its gud choice bettr than used cell..,Pos
Jis ne lena ha wo ksi k fazol commnts mn na jain.yahan log her mobile k site mn apny joht bol lety hn.hala kh wo ly nhi skty.very soooooperb mobile ha .fit bettry aor sb kch.. bs jis ki range 20k tk ha wo aram sy ja kr purchase kro aor mje dua do... any info 03226715906,Pos
"Mein is set ko ek month se use kar raha hun abhi tak mujhe to is mein koi problem nahi nazar aai.Is set mein to har cheez awesome hai Jis ne bhi ye set purchase karna hai wo sirf Green Tech ki warranty Wala hi purchase karein,Or Galaxy Grand Prime mein bhi alag alag models hein Aap log sirf SM-G530H hi Purchase karein.Green tech k elawa jo warranty mein aa rahe hein in mein fake set bhi hein...So please hoshyar rahein Or kisi samsung authorized dealer se purchase karein.",Pos
Is mein notification light nahi hai lekin yeh set bohot achha hai...Koi problem nahi hai is mein battery timing 2or3 days aram se chaljata hai.agar full charge karein or bilkul bhi use na karein to is ki battery 1 week aram se chal jay gi.,Pos
pakistani awam pagal ho gai hy is ka display china mobile jysa hy or battery time 6 hours sy ziada nai as a brother ma kahn ga k yh mobile na lain mene liya tha bt bohat hi bkwas mobile hy yh set pakistan k liye e bnaya gaya hy bohat hi bkwas set hy,Neg
Waseem bhai ap samsung ki burai is lie kr rahe ho kiu ke ap lumui user ho .darasal js ke pas jon sa set hota hy vo use acha kehta hy aur dusre ko bura kehta hy kiu ke vo us ko le nai skta .aise hi jhuti batien nai krni chahiy .android best hy aur lumia bkwas treen hy .me hud android user hu aur lumia user bhi hu is lie mujhy is bat ka pta hy ke lumia kisi kam ka nai hy .,Pos
Samsung Grand Prime bakwas set he 3G pe heat up ho jata he or hang problem be he kisi b waqt chalte chalte hang ho jata he or speed b bohat slow he.,Neg
"Kuch bhi na sochein apni ankhiein band kar k purchase kar lein is set mein koi bhi kami nahi he har cheiz bohot hi best he. Is price mein is se pehlay kabhi aaysa set nahi mila, Is set ki sale itni zyada ho rahi he k market se short ho gaya he.",Pos
Assalam O Alaikum....maine Samsung Galaxy Grand Prime use kia hai ye baat bilkul tek hai ye mobile aur bohat acha hai par ye mobile Hang hojata hai sirf ye problem hai bhai log.aghr meri bat manty ho tu ye set na lay...W.salam,Neg
Asalaam alikum sub ko ramzan mubarik ho.yar plz plz mujy sirf yeh koi bta dy k yeh set hang tu ni hota na.mein yeh set buy krny ka soch rha ho.plz.agr ap firends mujy is set k bary mein sahi guide krn gy tu mein apny friend sy dubai sy mangwao ga.just mujy hanging ki confiuion hy.agr mujy koi dost clear kr dy ga tu mein befikr ho k mangwa lu ga.,Neu
is mobile bohat hanging problem hai...is ki nisbat core prime acha hai..Bohat Smooth hai month se use kr raha hun,Neg
"Ye set display, camera, touch me bht acha hai, ",Pos
problem is k ye hang bht zyada hota hai iska hanging ka bht zyada problem hai bas,Neg
Men ye cell use kr chuKA HN BHt e bekar celphn h glti s b ye na buy kren fazool k paise zaya homjane hen hang hta rhta bs,Neg
"main galaxy grand prime 4 months se use kar raha hun. meri advice ap logon k liye yeh hai ke aap yeh set naa lein. paisay zaya karnay waali baat hai. agar paisay waqai muft k hain tou ye phone lene se behter he aag laga den. har waqt ye phone hang hota hai. build quality bhi khas nai he. is se behter huawei honor 4c hai. ye masla sirf mujhe ni, har us banday ko he jiske pas ye set he. waste of money.",Neg
"Honor 3C issay behtar hai uski ips lcd screen hai or display bhi bohot acha hai +2gb ram bhi, iska to capactive touch or display he poor hai to camera kahan aay acha dikhay ga!",Neg
yeh set koi nah ly yeh hang hota hy or is k cam ka result bhi acha nhi hy samsung waly kam price ker bewakof bna rehy hain mery dost ny yeh lia tha ab wo sell kerna chah raha hy gaming k doran aksar hang hota hy,Neg
frndxx mujhy yeh set liye huway 3 din hogai h bht acha mobile hai nice display camera reslut outstanding front cam also very impresive its 5 m.p front cam ar battery timing owsm aram se 2 din nikal jate hain frndx u must go for it .. owsm cell one again samsung rockxx ..,Pos
yah mobile slow nahi hota or is ka net bhi fast hai umer,Pos
Yar iski sound kaisee ha suna ha bohat kam hai . Tone sunai nahin datey. Full volume per bhee.,Neg
"main istemal kr rha hn Samsung grand prime boht acha set hai but iska camera atna khas nai hai,camera ki PPI boht kam hia islya zooming mai pic clear nai ati.",Neg
Salam bhai koe bhai Samsung grand prime na le to Bethar h q k ye net use karne we bohat hang ho raha h.,Neg
friendx ager ye mobile hang ho jaye to is software dobara se karwa k software update kar len phir nhe hoga,Neg
Merey liye kal e yeh set aya hai saudia se. I love it yaar bhoot acha set hai.. screnn bhot achi hai... mei nei dhair sari apps and games ki hen bilkul slow ni hua... ,Pos
mr Adil... plz ap logo ko galt info mt den. i m using galaxy grand prime ryt now. owsum mobile + owsum features. very good touch. iscy phly mery pas nexus 4 tha still i m satisfied by grand prime. so if any onw want to buy go ahead it is very good mobile in low price no hanging problem or any thing.,Pos
bhai log ya set bohat kamal hai har chez kamal ki hai camra ala hai 2600mah batry hai net use kar k 1 din aram say nikalta hai jo b nhai ya mob lay wo green tech walon ka hi lay bus or koe nai kam rat main aisi cheez nai milti yaroooooooooooooooooooooooo,Pos
Sochne mein time zaya na karein or Purchase kar lein bohot hi Awesome Smart Phone hai...Kahein aaysa na ho k aap log sochte reh jain or yeh phone Finish ho jain Markit mein. Yahan par jo log bad Comment de rahe hein in ko phone k bare mein kuch pata nahi hai...Ya phir in ko kisi ne in ki shakal dekh kar fake set bech dia hai.,Pos
A-O-A friends koi bta skta ha k ye kis trah k set ha or battery timing kesi ha memory storage speed or net use krny sy heat up to nai hota kindly tell me i am intrested mjy is ka cam result bht acha laga,Neu
Friends boht hi acha phone mene kariban 30 apps install ki hui hain aur is pr net b use krta ho ..bilkul b hang ni hota camera result bohat he acha hai 1080p ki full hd video bnata hai.ye kam price mein bht he acha phone...iski performance bht he ziyada achi hai,Pos
Camera boht acha hy front or back..10/10 Look b boht achi hy..10/10 Baki processor nd ram sb kuch best hy..10/10 Only 1 bad thing.. It become very very hot when i use internet on it..6/10,Pos
Bilkul china jesu display he is mobile ki or camera bhi bekar he is wja se is price me he or sub sale kr rhe he core 2 ka display bhi china jesa he,Neg
koi btaye ga k prime k back camera ki britnessbq kam ha. camera itna koi bright ni ha. thora dark ha. reply 03416145879,Neg
i buy this mobile its very good set camera result is v.good 3g very speedy touch very good shape beautiful simply its good available at maal of lahore 21000,Pos
yrr koe bata skta ha kia k is Samsung Galaxy grand prime both Sims active hoti ha agr ak sim pe call aa rhe ho to dosri sim pe aa skti ha both sim active ka option ha kia,Neu
Aamir bhai... Orignal mobile shop say b mil jaty hn... But over all aaj kal fake kam ho raha hy.... Jitni is mobile ki price otna yeh kam krta hy bal k us say barh kr... Charge b bhot jaldi ho jata hy.. battry backup b bhot acha hy.. Camra to perfect hy spicial front.... Aur sirf Ram thori km hy... 2gb hoti to to phir to kya he baat thy... Any way... phir b theek hy... Agr ram busy ho haey bost kro ... to speed teez ho jati hy.. Inho nay dosray mobile b to sale krnay hn.na... Agr saray feature aur specfc issi mobile main add kr den... To phir kon lay ga S4 5 6 edge.... Aur baqi aagay ap ki mrzi Set to theek hy... Price b to dekho naaaaa,Pos
Asslam o alikum bhayo main nay yeh mobile kal he lia.. bhot fit hy m from lahore. 19500 ka lia q bhai ka dost tha.. and lia b compny k display centre say orignal 10/10 market main kuch set korian hn jin main problem hy is waja say loog nagative comment dy rhy hn... agar ap nay orignal set lia hua hy to us main koi problem nai... bhooot aalaw mobile hy mujhy to pasand aya camra battry net speed sab kuch perfect hy. jis nay b laina hy baghair confused hoaye lay lay. is price main is say acha koi mobile nai ... beshak ap jitna b comprasion kr len... aur naqlon say bach k q k market main fake set b aye hoye hn... jin main kafi problem hn,Pos
Dosto grand prime net mai hang hota hai is se Lumia 535 bht acha hai Lumia ki display b grand prime se achi hai aur na he hang hota hai mene new grand prime leya tga aik din use karke sale kardiya bcz net browsing mai hang hojata tha. Baqi ap logo ki marzi khud le kar dihk lo pir mat kehna ke bataya nai tha.,Neg
main ne aaj purchase kiya hai ye set....everything kamal hai yar.... ic price main bohat best fone hai samsung ka... lekin colour ic main just white nhi Gray b mil jaata hai ..... 03112233103,Pos
Ye mobile wse tO acha hai camera awesOme hai prr jb is pr wifi ya data connectiOn On krO ye mbl slOw hO jata hai Oor hang hOna shuru hO jata hai plz kOi is prOblem kO solve krne ka tarika bta skta hai plzz,Neg
Ya Phone Bohat bakwas Ha ma us kar raha hn many 18000 Ka liya Ha 5 din phala subwy game per B hang Ho jata Ha or Google chrome per B hang Hota Ha many 5 din us kiya Ha ab sale karna jata hn to 12000 milta Ha &#128543,Neg
"Friendz ye grand prime bht acha mobile hai..its vry slim and smart...i like it...this only 19,999 laikn main jo use kr raha hu ye united arab yani dubai se aya hai...jo k Qual comm 4G hai....Main to ap ko yehi kahu ga k Grand prime is the best mobile phone...",Pos
Yr mai use kr raha hn mjh sy to hang ni howa mary mutabik acha set hy betry timeing b thek hy,Pos
Ye bra hi bkwas set he...sala hr wkt hang hi rehta he....keemt company ne 16000/ rakhi he....is se to qmobile titan kamal he Jo na hang hota he na battery jldi jati he..... Logon ko lot rhen hen company Waly aesi Gandi cheezen de k...,Neg
"bra hi bakwass aur fazol mobile hy sirf 768mb ram hy r samsung ne price 19,900 rakhe the ab 14,000 sirf 2 din cla ke sale kr diya har waqt hang hota game khalo tab internet clao jb idiot person log kredte hain ase mobile",Neg
bohat Ghatya set han games aur net par har time hang hota hain or garam bi bohat jaldi. Ho jata hain,Neg
Bakwas set hai grand prime net use karo to bar bar hang hota hai aur back camera b 5mp jaisa hai. Maine new leya tha 3din use karke sale kardiya is se mera old iPhone 4s b bht acha tha na hang hota tha aur internal memory b iphone 4s ki 32gb ti. Grand prime is flop set.,Neg
Grand prime bikar set hai. Hang bht hota hai jab net on karo aur iska 8mp camera b bilkol 5mp jaisa hai not good set mene aik week use karke sale kardiya.,Neg
Bohat acha mobile ha ,Pos
boht acha set he jo is ko bakwas kah rahe hen wo jhoot kah rahe hen 8mp back aur 5mp front camera he is price me kia chahiye bakwas kehne wale q mobile istemal karne ke aadi hen,Pos
bakwas set is price me bht ganda resolution hai..,Neg
yeh bt hi aala set hay .camera aur battery tu kamaal ki hay.jo iis ko bakwaas keh rahay hain uun kaliay angoor khttay hain.ankh band kar k ley lo.,Pos
This set hang during net browsing and facebook. And back camera result is also not so good.,Neg
Best set hay camera aur battery mein zabadast hy amazing set forever,Pos
Ye behtreen set hai. Kisi qisam ka masla nahi hai cam result b acha hai. Ram 60% to 70% tak use hoti hai baqi free rehti hai. Battery b taqreeban 2 din tk chal jati hai. Is mai screen off software kar lia jaye to side button use karnay ki zaroorat nahi parti. Mazeed info k lie aap call kar saktay hen 03454262822 Sikander,Pos
bohat zbrdst set hai ye specially net spees to kamal ki hai,Pos
Yar Yeh Boooohaaaat Hi Acha Mobile Hai.Very Nice Mobile And Features,Pos
